NEXTSONG227,225,262,1
1107,1243,1688,1
40,27,37,1
57,136,65,1
3,2,2,1
NEXTSONG196,214,203,1
927,1370,759,1
43,25,61,1
52,145,70,1
0,4,4,1
NEXTSONG452,505,509,1
7096,7612,6943,1
28,44,46,1
251,213,207,1
2,2,2,1
NEXTSONG281,276,301,1
2453,2596,3067,1
28,25,18,1
151,135,278,1
0,2,3,1
NEXTSONG344,339,361,1
2388,2932,3266,1
43,36,38,1
148,186,191,1
2,0,0,1
NEXTSONG277,280,337,1
1380,857,2146,1
64,88,42,1
60,57,215,1
3,6,3,1
NEXTSONG216,232,245,1
1155,1188,1440,1
23,30,24,1
153,42,143,1
2,3,0,1
NEXTSONG255,215,286,1
1933,1377,3348,1
27,30,20,1
126,99,266,1
3,0,3,1
NEXTSONG305,282,268,1
2600,2334,2579,1
30,35,17,1
210,161,201,1
2,2,3,1
NEXTSONG292,251,356,1
1851,1645,3929,1
47,26,19,1
121,142,325,1
3,3,2,1
NEXTSONG291,294,295,1
2053,2374,1816,1
36,28,36,1
198,212,155,1
2,2,2,1
NEXTSONG241,266,285,1
1309,1923,2760,1
39,22,28,1
52,233,177,1
0,4,2,1
NEXTSONG331,376,384,1
3614,4370,3781,1
14,28,28,1
191,333,340,1
2,3,2,1
NEXTSONG277,324,360,1
1482,1442,2496,1
36,82,47,1
157,63,134,1
0,3,3,1
NEXTSONG240,276,289,1
1625,2019,2435,1
24,41,23,1
115,99,169,1
3,3,3,1
NEXTSONG369,375,349,1
4139,4819,4094,1
39,34,31,1
165,176,139,1
2,3,3,1
NEXTSONG327,358,346,1
3180,3341,3848,1
20,36,22,1
254,194,176,1
3,3,4,1
NEXTSONG212,205,237,1
1233,898,1404,1
45,47,30,1
96,84,194,1
0,2,3,1
NEXTSONG318,338,349,1
2499,3478,3099,1
36,30,28,1
226,278,128,1
2,2,3,1
NEXTSONG371,454,396,1
1947,5269,6664,1
89,33,24,1
196,196,312,1
2,2,3,1
NEXTSONG227,305,286,1
1090,2015,1528,1
52,34,51,1
71,196,204,1
3,3,0,1
NEXTSONG304,292,308,1
2275,2333,2016,1
35,27,39,1
120,144,187,1
0,3,4,1
NEXTSONG226,302,322,1
1205,2565,2994,1
29,21,29,1
165,160,273,1
2,2,2,1
NEXTSONG306,265,325,1
1421,2246,2717,1
80,33,36,1
100,167,127,1
4,3,3,1
NEXTSONG282,293,304,1
2152,2045,2527,1
44,44,36,1
113,143,119,1
3,3,0,1
NEXTSONG277,269,260,1
1317,1703,1624,1
61,49,42,1
61,128,90,1
0,3,6,1
NEXTSONG231,291,171,1
2949,4237,1176,1
6,14,13,1
220,268,134,1
2,2,0,1
NEXTSONG218,228,218,1
953,835,1029,1
49,59,36,1
91,90,129,1
3,0,3,1
NEXTSONG357,358,391,1
2983,3073,3313,1
28,43,40,1
184,103,309,1
3,4,3,1
NEXTSONG288,286,321,1
2942,2541,4198,1
20,27,16,1
161,134,292,1
2,2,2,1
NEXTSONG331,388,361,1
2456,4064,3434,1
37,15,40,1
98,339,130,1
3,2,0,1
NEXTSONG262,233,227,1
1536,1247,1300,1
44,34,52,1
177,176,100,1
2,0,2,1
NEXTSONG218,245,293,1
1452,1865,1386,1
26,25,55,1
83,163,159,1
2,0,6,1
NEXTSONG263,242,268,1
2297,1602,2437,1
28,32,32,1
181,91,148,1
0,3,2,1
NEXTSONG316,302,287,1
2988,2635,3241,1
16,35,15,1
262,236,260,1
5,2,3,1
NEXTSONG217,250,231,1
1293,1413,1384,1
38,47,30,1
73,169,150,1
2,2,3,1
NEXTSONG229,269,222,1
1352,1440,1271,1
34,52,23,1
155,178,178,1
4,3,0,1
NEXTSONG306,310,330,1
3939,3458,3810,1
7,15,19,1
285,233,259,1
3,3,4,1
NEXTSONG
